developer,cluster,archetype,dbscan_outlier,commits,prs_opened,prs_merged,reviews_given,issues_opened,issues_closed,active_hours
9EOR9,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AMRUTH-ASHOK,0,Silent Stalker,False,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Aakcht,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Abhigyan-Shekhar,0,Silent Stalker,False,0.0,0.0,0.0,1.5,0.0,0.0,1.5
Abhiii47,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AbhishekChaudharii,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Abhishekmishra2808,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Aditi102005,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Ajay9704,0,Silent Stalker,False,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,1.0
Alok-kumar-priyadarshi,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AngersZhuuuu,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Anjums4266,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Ankurdeewan,0,Silent Stalker,False,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Argh4k,0,Silent Stalker,False,0.0,0.0,0.0,1.5,0.0,0.0,1.25
ArthurSens,0,Silent Stalker,False,0.42857142857142855,0.0,0.0,0.5714285714285714,0.0,0.0,1.0
Arunodoy18,0,Silent Stalker,False,0.0,1.1111111111111112,0.0,0.2222222222222222,0.0,0.0,1.3333333333333333
AutomationDev85,0,Silent Stalker,False,0.0,0.5,0.0,0.5,0.0,0.0,1.0
AutuSnow,0,Silent Stalker,False,0.0,0.6363636363636364,0.0,0.9090909090909091,0.0,0.0,1.2727272727272727
AveryQi115,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BasPH,0,Silent Stalker,False,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0
BenTheElder,0,Silent Stalker,False,0.0,0.25,0.0,1.5,0.25,0.0,1.375
Blooming-Tree,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.8,0.0,1.2
BruinGrowly,0,Silent Stalker,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bucky789,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
CLBRITTON2,0,Silent Stalker,False,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.0
Caesarsage,0,Silent Stalker,False,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Chais,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Choraden,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Chunxia202410,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Copilot,0,Silent Stalker,False,0.0,0.0625,0.0,1.875,0.0,0.0,1.125
Crowiant,0,Silent Stalker,False,0.0,0.0,0.0,3.0,0.0,0.0,1.0
DEVMANISHOFFL,0,Silent Stalker,False,0.0,0.5,0.0,0.5,0.0,0.0,1.0
DamianSawicki,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
DarshanCode2005,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
DataCerealz,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Dev-iL,0,Silent Stalker,False,0.0,0.3333333333333333,0.0,1.1666666666666667,0.08333333333333333,0.0,1.5
Devguru-codes,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DjVinnii,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Fokko,0,Silent Stalker,False,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Fury0508,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
GaneshPatil7517,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Goend,0,Silent Stalker,False,0.0,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,1.0
Gourav2580,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
HARDIK-WEB-OSS,0,Silent Stalker,False,0.0,0.5,0.0,0.5,0.0,0.0,1.0
HarshalNeelkamal,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HeartSaVioR,0,Silent Stalker,False,0.6666666666666666,0.16666666666666666,0.0,1.1666666666666667,0.0,0.0,1.3333333333333333
Hesara2003,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
